order_id,line_item_id,timestamp,store,product_id,product_name,category,gender,unit_price,original_unit_price,on_offer,quantity,line_total,payment_method
ORC-20260607-1283,2,2026-06-07 21:55:24,Orchard Central,SOK-W-02,Women's Pile Crew Socks,Socks,Women,5.9,5.9,False,1,5.9,Cash
BUG-20260607-1162,1,2026-06-07 15:58:02,Bugis,SOK-W-03,  Women's Airism Low-Cut Socks  ,Socks,Women,5.9,5.9,False,1,5.9,Card
BUG-20260607-0850,2,2026-06-07 18:59:08,  Bugis  ,TOP-W-04,Women's Heattech Crew Neck Long Sleeve Tee,Tops,Women,14.9,14.9,False,1,14.9,Card
BUG-20260607-1039,1,2026-06-07 16:37:22,Bugis,SOK-M-02,  Men's Pile Crew Socks  ,Socks,Men,5.9,5.9,False,2,$11.8,Card
PUN-20260607-0416,2,2026-06-07 18:13:55,Punggol,SOK-M-01,Men's Ankle Socks 3-Pack,socks,men,14.9,14.9,False,1,14.9,Cash
ORC-20260607-1570,1,2026-06-07 15:30:38,  Orchard Central  ,UND-M-01,Men's Airism Boxer Briefs,Underwear,Men,14.9,14.9,False,1,14.9,NETS
ORC-20260607-1124,2,2026-06-07 14:51:59,Orchard Central,SOK-W-02,Women's Pile Crew Socks,socks,Women,5.9,5.9,False,1,5.9,Card
ORC-20260607-0094,1,2026-06-07 20:24:43,Orchard Central,TOP-W-05,Women's Merino Blend Cardigan,Tops,Women,27.2,39.9,True,1,27.2,Card
PUN-20260607-0072,1,2026-06-07 18:52:15,Punggol,TOP-W-01,  Women's Airism Cotton Crew Neck T-Shirt  ,Tops,Women,14.9,14.9,False,1,14.9,Card
BUG-20260607-0222,2,2026-06-07 15:25:06,Bugis,UND-M-02,Men's Cotton Blend Trunks,Underwear,Men,14.9,14.9,False,1,14.9,Card
ORC-20260607-1484,3,2026-06-07 21:01:30,Orchard Central,SOK-M-01,  Men's Ankle Socks 3-Pack  ,Socks,men,14.9,14.9,False,1,$14.9,PayNow
BUG-20260607-0030,1,2026-06-07 17:23:33,Bugis,BTM-M-04,Men's Dry Stretch Shorts,Bottoms,Men,19.9,19.9,False,1,19.9,PayNow
PUN-20260607-0302,2,2026-06-07 14:05:42,Punggol,BTM-M-03,Men's Selvedge Regular Fit Jeans,Bottoms,Men,59.9,59.9,False,1,59.9,card
ORC-20260607-1683,1,2026-06-07 14:17:14,Orchard Central,SOK-W-04,  Women's Ribbed Crew Socks  ,Socks,Women,5.9,5.9,False,2,$11.8,PayNow
PUN-20260607-0621,2,2026-06-07 11:06:48,  Punggol  ,BTM-M-01,Men's Ezy Ankle Pants,Bottoms,Men,29.9,29.9,False,1,29.9,Cash
ORC-20260607-1327,2,2026-06-07 13:09:00,Orchard Central,UND-M-01,  Men's Airism Boxer Briefs  ,Underwear,Men,14.9,14.9,False,1,14.9,Cash
PUN-20260607-0806,1,2026-06-07 18:07:44,Punggol,UND-W-02,Women's Wireless Bra,Underwear,Women,29.9,29.9,False,1,29.9,Cash
ORC-20260607-0296,1,2026-06-07 11:43:31,Orchard Central,BTM-W-02,Women's High-Rise Wide Leg Pants,Bottoms,WOMEN,39.9,39.9,False,1,39.9,PayNow
ORC-20260607-1341,2,2026-06-07 14:01:58,Orchard Central,UND-M-03,Men's Airism Mesh Boxer Briefs,Underwear,Men,14.9,14.9,False,1,14.9,NETS
ORC-20260607-1816,1,2026-06-07 15:21:33,Orchard Central,SOK-M-02,Men's Pile Crew Socks,Socks,Men,5.9,5.9,False,2,11.8,Cash
BUG-20260607-0425,1,2026-06-07 15:14:53,bugis,UND-W-03,Women's Cotton Blend Briefs,Underwear,Women,9.9,9.9,False,1,9.9,Card
ORC-20260607-0423,3,2026-06-07 17:56:18,orchard central,SOK-M-03,Men's Airism Low-Cut Socks,Socks,Men,5.9,5.9,False,1,5.9,Card
ORC-20260607-1242,2,2026-06-07 18:12:15,ORCHARD CENTRAL,SOK-W-02,Women's Pile Crew Socks,SOCKS,WOMEN,5.9,5.9,False,1,5.9,Card
ORC-20260607-1811,1,2026-06-07 19:49:12,Orchard Central,SOK-W-04,  Women's Ribbed Crew Socks  ,Socks,Women,5.9,5.9,False,2,11.8,
BUG-20260607-0139,2,2026-06-07 12:48:31,Bugis,SOK-M-02,Men's Pile Crew Socks,Socks,Men,5.9,5.9,False,1,5.9,Card
BUG-20260607-1018,1,2026-06-07 16:38:55,Bugis,UND-W-02,Women's Wireless Bra,Underwear,Women,29.9,29.9,False,1,29.9,Card
ORC-20260607-0042,3,2026-06-07 11:02:26,Orchard Central,SOK-M-03,Men's Airism Low-Cut Socks,Socks,Men,5.9,5.9,False,1,5.9,Paynow
ORC-20260607-1764,3,2026-06-07 20:24:20,Orchard Central,TOP-W-09,Women's Drape Sleeveless Top,Tops,Women,13.54,19.9,True,1,13.54,Cash
ORC-20260607-1095,1,2026-06-07 12:18:55,Orchard Central,TOP-W-02,Women's Ribbed Long Sleeve Turtleneck,Tops,women,19.9,19.9,False,1,19.9,Card
PUN-20260607-0705,2,2026-06-07 18:24:25,Punggol,SOK-W-04,Women's Ribbed Crew Socks,Socks,Women,$5.9,5.9,False,1,5.9,PayNow
ORC-20260607-0336,1,2026-06-07 14:10:16,Orchard Central,SOK-M-01,Men's Ankle Socks 3-Pack,Socks,Men,14.9,14.9,False,1,14.9,Card
BUG-20260607-0637,1,2026-06-07 21:53:55,Bugis,TOP-W-04,Women's Heattech Crew Neck Long Sleeve Tee,Tops,Women,14.9,14.9,False,1,14.9,paynow
ORC-20260607-1684,2,2026-06-07 19:33:04,  Orchard Central  ,UND-M-02,Men's Cotton Blend Trunks,Underwear,Men,14.9,14.9,False,1,14.9,
BUG-20260607-0461,3,2026-06-07 20:36:09,Bugis,TOP-M-02,Men's Supima Cotton Polo Shirt,TOPS,Men,29.9,29.9,False,1,29.9,Cash
BUG-20260607-0040,1,2026-06-07 20:04:05,  BUGIS  ,SOK-W-04,Women's Ribbed Crew Socks,Socks,Women,5.9,5.9,False,1,5.9,Card
ORC-20260607-0672,2,2026-06-07 16:18:59,Orchard Central,BTM-W-04,Women's Denim Straight Jeans,Bottoms,Women,$49.9,49.9,False,1,49.9,Card
BUG-20260607-0326,2,2026-06-07 18:00:28,Bugis,SOK-W-09,Women's No-Show Sneaker Socks,Socks,Women,5.9,5.9,False,1,5.9,NETS
BUG-20260607-1079,1,2026-06-07 12:27:30,Bugis,TOP-W-04,Women's Heattech Crew Neck Long Sleeve Tee,Tops,WOMEN,14.9,14.9,False,1,14.9,Card
BUG-20260607-0286,3,2026-06-07 17:05:56,Bugis,SOK-M-03,  Men's Airism Low-Cut Socks  ,Socks,Men,5.9,5.9,False,1,5.9,Card
ORC-20260607-0496,3,2026-06-07 20:22:50,Orchard Central,SOK-W-02,Women's Pile Crew Socks,Socks,Women,5.9,5.9,False,1,5.9,PayNow
BUG-20260607-0804,1,2026-06-07 11:56:08,BUGIS,SOK-M-03,Men's Airism Low-Cut Socks,Socks,Men,5.9,5.9,False,1,5.9,Card
BUG-20260607-0024,1,2026-06-07 15:03:26,bugis,TOP-W-04,Women's Heattech Crew Neck Long Sleeve Tee,Tops,Women,14.9,14.9,False,1,14.9,Card
PUN-20260607-0736,2,2026-06-07 13:36:51,punggol,SOK-M-01,Men's Ankle Socks 3-Pack,Socks,Men,14.9,14.9,False,1,14.9,Card
ORC-20260607-1405,2,2026-06-07 17:00:17,Orchard Central,TOP-M-01,Men's Airism Cotton Crew Neck T-Shirt,Tops,Men,14.9,14.9,False,1,$14.9,NETS
PUN-20260607-0810,1,2026-06-07 22:38:09,Punggol,BTM-M-01,Men's Ezy Ankle Pants,Bottoms,men,29.9,29.9,False,1,29.9,Card
ORC-20260607-0677,3,2026-06-07 12:22:28,Orchard Central,BTM-M-04,Men's Dry Stretch Shorts,Bottoms,Men,19.9,19.9,False,1,19.9,nets
PUN-20260607-0208,2,2026-06-07 21:35:29,Punggol,SOK-M-04,  Men's Ribbed Crew Socks  ,Socks,Men,5.9,5.9,False,1,5.9,PayNow
PUN-20260607-0396,1,2026-06-07 12:41:08,PUNGGOL,TOP-W-06,  Women's Linen Blend Short Sleeve Shirt  ,Tops,Women,29.9,29.9,False,1,29.9,NETS
ORC-20260607-0769,1,2026-06-07 19:19:08,Orchard Central,SOK-W-02,,Socks,Women,5.9,5.9,False,1,5.9,PayNow
BUG-20260607-0805,2,2026-06-07 15:39:37,bugis,SOK-M-02,Men's Pile Crew Socks,Socks,Men,5.9,5.9,False,1,5.9,NETS
